year,exam_date,paper_variant,booklet_series,question_number,subject,sub_topic,question_type,option_count,statement_count,list_item_count,option_combination_pattern,is_all_or_none_correct,all_none_literal_phrasing,correct_option,key_status,difficulty_guess,ambiguous_subject,ambiguous_note,ca_recency_months,source_type_guess,question_text_en
68th,2023-02-12,main,A,139,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,NCERT-level,Cell type most important for body immunity (lymphocytes)
68th,2023-02-12,main,A,140,Science & Technology,Biology,simple_mcq,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,NCERT-level,Which statement INCORRECT about muscles (can only push the bone)
68th,2023-02-12,main,A,141,Reasoning & Aptitude,Logical/Verbal,reasoning_aptitude,5,,,,FALSE,FALSE,C,final,hard,FALSE,,,specialized reference,Code language: FASTER/MONK -> GUIDE
68th,2023-02-12,main,A,142,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,specialized reference,"Rectangle area 30cm2 perimeter 26cm — sides (10, 3)"
68th,2023-02-12,main,A,143,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,specialized reference,10% discount + 10% GST on Rs 400 item — final price (Rs 396)
68th,2023-02-12,main,A,144,Reasoning & Aptitude,Logical/Verbal,reasoning_aptitude,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,specialized reference,"Arrange words in logical order (VP, President, Speaker, PM, MPs)"
68th,2023-02-12,main,A,145,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,A,final,medium,FALSE,,,specialized reference,"Reshma donates 1/4 property, divides rest among 3 children — each gets (one-fourth)"
68th,2023-02-12,main,A,146,Reasoning & Aptitude,Logical/Verbal,reasoning_aptitude,5,,,,FALSE,FALSE,C,final,easy,FALSE,,,NCERT-level,Which statement is false (geometry: square/rhombus/rectangle)
68th,2023-02-12,main,A,147,Reasoning & Aptitude,Logical/Verbal,reasoning_aptitude,5,,,,FALSE,FALSE,B,final,hard,FALSE,,,specialized reference,Family relation puzzle: how is K related to S (Sister-in-law)
68th,2023-02-12,main,A,148,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,B,final,medium,FALSE,,,specialized reference,How many words (meaningless) from letters of 'DIARY' (10)
68th,2023-02-12,main,A,149,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,FALSE,FALSE,C,final,medium,FALSE,,,specialized reference,"Missing number in 3x3 matrix (44,49,37/52,?,41/58,35,53)"
68th,2023-02-12,main,A,150,Reasoning & Aptitude,Quantitative/Numerical,reasoning_aptitude,5,,,,TRUE,TRUE,A,final,medium,FALSE,,,specialized reference,"Missing number in series 15,20,32,62,118,248,? (More than one of the above)"
